Dispositivo	Sigla	Model
Smart Trac Ultra Ex	STUE	PROD-0113
Smart Trac Ultra Ex	STUE	PROD-0114
Smart Receiver Ultra	SRU	PROD-0048
Smart Receiver Ultra	SRU	PROD-0050
Smart Receiver Ultra	SRU	PROD-0071
Smart Receiver Ultra Gen 2	SRU	PROD-0151
Smart Receiver Ultra Gen 2	SRU	PROD-0173
Smart Trac Ultra Gen 2	STUV2	PROD-0153
Smart Trac Ultra Gen 2	STUV2	PROD-0183
Smart Trac Ultra Gen 2 EX	STUE	PROD-0164
Smart Trac Ultra Gen 2 EX	STUE	PROD-0165
Energy Trac	ET+	PROD-0083
Energy Trac	ET+	PROD-0084
Energy Trac	ET+	PROD-0087
Energy Trac Pro	ET+	PROD-0176
Uni Trac	UT+	PROD-0147
Uni Trac	UT+	PROD-0148
Uni Trac	UT+	PROD-0149
Uni Trac	UT+	PROD-0150
Uni Trac	UT+	PROD-0177
OEE Trac	OEET	PROD-0156
Omni Trac	OT+	PROD-0158
Omni Receiver	OR+	PROD-0127
