Country	Product	Model	09/2026	10/2026	11/2026	12/2026	01/2027	02/2027	03/2027	04/2027	05/2027	06/2027	07/2027	08/2027	09/2027	10/2027	11/2027	12/2027
GL	STUV2	PROD-0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU	STUV2	PROD-0183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US	STUE	PROD-0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MX	STUE	PROD-0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	STUE	PROD-0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US	STUE	PROD-0164	1000	3150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MX	STUE	PROD-0164	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	STUE	PROD-0165	1900	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	SRU	PROD-0048	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US	SRU	PROD-0050	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MX	SRU	PROD-0071	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	SRU	PROD-0151	100	300	350	300	350	300	300	300	300	300	250	300	250	250	350	350
US	SRU	PROD-0173	150	250	300	300	300	300	300	300	300	300	300	400	400	400	400	400
MX	SRU	PROD-0173	50	150	50	100	50	100	100	100	100	100	150	100	150	150	150	150
BR	ET+	PROD-0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US	ET+	PROD-0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MX	ET+	PROD-0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	ET+	PROD-0176	200	300	0	0	500	0	0	600	0	0	600	0	0	600	0	0
US	ET+	PROD-0176	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MX	ET+	PROD-0176	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	UT+	PROD-0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	UT+	PROD-0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	UT+	PROD-0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	UT+	PROD-0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	OT+	PROD-0158	40	100	0	0	50	0	0	50	0	0	50	0	0	50	0	0
GL	OR+	PROD-0127	40	100	0	0	50	0	0	50	0	0	50	0	0	50	0	0
GL	OEET	PROD-0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	UT+	PROD-0177	0	300	0	0	300	0	0	300	0	0	400	0	0	500	0	0
